"yyyy-mm-dd","team1","team2","score1","score2"
"04/08/2013","Atvidabergs","Gefle","1","1"
"04/08/2013","Halmstad","Malmo FF","1","3"
"04/08/2013","Goteborg","Hacken","3","1"
"05/08/2013","Norrkoping","Mjallby","3","2"
"05/08/2013","Djurgarden","Helsingborg","2","1"
"10/08/2013","Atvidabergs","Halmstad","0","1"
"10/08/2013","Brommapojkarna","Djurgarden","3","0"
"10/08/2013","Elfsborg","Kalmar","1","0"
"11/08/2013","Gefle","Mjallby","2","1"
"11/08/2013","Helsingborg","Norrkoping","0","0"
"11/08/2013","Syrianska","Goteborg","0","2"
"11/08/2013","Hacken","Osters","0","2"
"11/08/2013","Malmo FF","AIK","1","0"
"16/08/2013","Osters","Syrianska","1","0"
"17/08/2013","Goteborg","Elfsborg","3","1"
"17/08/2013","Norrkoping","Brommapojkarna","2","1"
"18/08/2013","Djurgarden","Hacken","1","1"
"18/08/2013","Halmstad","Gefle","2","2"
"18/08/2013","Kalmar","Malmo FF","1","4"
"19/08/2013","AIK","Atvidabergs","3","2"
"19/08/2013","Mjallby","Helsingborg","4","3"
"22/08/2013","Norrkoping","Djurgarden","2","3"
"25/08/2013","Elfsborg","Osters","2","4"
"25/08/2013","Gefle","Helsingborg","1","2"
"25/08/2013","Halmstad","AIK","1","0"
"25/08/2013","Malmo FF","Goteborg","3","1"
"26/08/2013","Atvidabergs","Kalmar","0","0"
"26/08/2013","Brommapojkarna","Mjallby","2","0"
"26/08/2013","Hacken","Norrkoping","1","0"
"26/08/2013","Syrianska","Djurgarden","1","3"
"30/08/2013","Helsingborg","Brommapojkarna","4","2"
"31/08/2013","AIK","Gefle","3","0"
"01/09/2013","Goteborg","Atvidabergs","3","0"
"01/09/2013","Norrkoping","Syrianska","6","1"
"01/09/2013","Osters","Malmo FF","1","1"
"01/09/2013","Djurgarden","Elfsborg","1","2"
"01/09/2013","Kalmar","Halmstad","1","0"
"01/09/2013","Mjallby","Hacken","1","1"
"14/09/2013","Atvidabergs","Osters","4","0"
"14/09/2013","Gefle","Brommapojkarna","1","0"
"15/09/2013","AIK","Kalmar","0","0"
"15/09/2013","Elfsborg","Norrkoping","4","1"
"15/09/2013","Halmstad","Goteborg","0","1"
"15/09/2013","Hacken","Helsingborg","3","2"
"15/09/2013","Syrianska","Mjallby","1","2"
"16/09/2013","Malmo FF","Djurgarden","0","2"
"20/09/2013","Osters","Halmstad","0","1"
"21/09/2013","Kalmar","Gefle","0","0"
"22/09/2013","Brommapojkarna","Hacken","1","0"
"22/09/2013","Mjallby","Elfsborg","2","2"
"22/09/2013","Djurgarden","Atvidabergs","2","0"
"22/09/2013","Helsingborg","Syrianska","2","2"
"22/09/2013","Norrkoping","Malmo FF","0","2"
"23/09/2013","Goteborg","AIK","3","1"
"24/09/2013","Osters","Kalmar","1","2"
"25/09/2013","Brommapojkarna","Elfsborg","1","0"
"25/09/2013","Hacken","Syrianska","4","0"
"25/09/2013","Helsingborg","Malmo FF","0","3"
"26/09/2013","Goteborg","Gefle","3","1"
"26/09/2013","Mjallby","Atvidabergs","0","1"
"26/09/2013","Norrkoping","Halmstad","3","2"
"26/09/2013","Djurgarden","AIK","2","2"
"28/09/2013","Syrianska","Brommapojkarna","1","2"
"29/09/2013","Halmstad","Djurgarden","1","4"
"29/09/2013","Kalmar","Goteborg","2","1"
"29/09/2013","Elfsborg","Helsingborg","1","1"
"30/09/2013","AIK","Osters","2","1"
"30/09/2013","Gefle","Hacken","0","0"
"30/09/2013","Malmo FF","Mjallby","1","0"
"30/09/2013","Atvidabergs","Norrkoping","1","3"
"04/10/2013","Mjallby","AIK","2","3"
"05/10/2013","Brommapojkarna","Atvidabergs","0","0"
"05/10/2013","Norrkoping","Kalmar","0","1"
"06/10/2013","Djurgarden","Goteborg","2","1"
"06/10/2013","Osters","Gefle","1","4"
"06/10/2013","Syrianska","Elfsborg","1","3"
"06/10/2013","Hacken","Malmo FF","2","0"
"06/10/2013","Helsingborg","Halmstad","4","2"
"19/10/2013","Gefle","Syrianska","2","0"
"20/10/2013","Atvidabergs","Helsingborg","3","0"
"20/10/2013","Goteborg","Osters","0","0"
"20/10/2013","Elfsborg","Hacken","0","0"
"20/10/2013","Malmo FF","Brommapojkarna","2","1"
"21/10/2013","AIK","Norrkoping","1","0"
"21/10/2013","Kalmar","Djurgarden","1","2"
"21/10/2013","Halmstad","Mjallby","1","0"
"25/10/2013","Hacken","Halmstad","1","3"
"26/10/2013","Brommapojkarna","AIK","0","6"
"27/10/2013","Djurgarden","Gefle","1","1"
"27/10/2013","Mjallby","Goteborg","2","1"
"27/10/2013","Helsingborg","Kalmar","2","3"
"27/10/2013","Syrianska","Atvidabergs","4","1"
"28/10/2013","Norrkoping","Osters","1","1"
"28/10/2013","Elfsborg","Malmo FF","0","2"
"03/11/2013","AIK","Helsingborg","2","1"
"03/11/2013","Atvidabergs","Hacken","2","2"
"03/11/2013","Gefle","Elfsborg","0","2"
"03/11/2013","Goteborg","Norrkoping","2","0"
"03/11/2013","Halmstad","Brommapojkarna","2","2"
"03/11/2013","Kalmar","Mjallby","2","1"
"03/11/2013","Malmo FF","Syrianska","3","1"
"03/11/2013","Osters","Djurgarden","1","1"
"06/11/2013","Sundsvall","Halmstad","1","1"
"10/11/2013","Halmstad","Sundsvall","2","1"
"30/03/2014","Brommapojkarna","Kalmar","1","2"
"30/03/2014","Helsingborg","Djurgarden","1","1"
"30/03/2014","Mjallby","Gefle","2","2"
"30/03/2014","Halmstad","Orebro","1","2"
"30/03/2014","Malmo FF","Falkenbergs","3","0"
"31/03/2014","Atvidabergs","Elfsborg","2","1"
"31/03/2014","Hacken","Norrkoping","2","0"
"31/03/2014","AIK","Goteborg","0","2"
"04/04/2014","Elfsborg","Hacken","3","1"
"05/04/2014","Falkenbergs","Brommapojkarna","1","0"
"06/04/2014","Djurgarden","Halmstad","3","0"
"06/04/2014","Gefle","AIK","1","2"
"06/04/2014","Norrkoping","Helsingborg","2","0"
"07/04/2014","Kalmar","Atvidabergs","2","2"
"07/04/2014","Goteborg","Malmo FF","0","3"
"08/04/2014","Orebro","Mjallby","1","0"
"11/04/2014","Mjallby","Djurgarden","0","2"
"12/04/2014","Atvidabergs","Falkenbergs","2","0"
"12/04/2014","Malmo FF","Gefle","1","0"
"13/04/2014","AIK","Orebro","1","1"
"13/04/2014","Halmstad","Norrkoping","0","0"
"13/04/2014","Helsingborg","Hacken","4","2"
"14/04/2014","Brommapojkarna","Goteborg","1","1"
"14/04/2014","Kalmar","Elfsborg","0","0"
"16/04/2014","Hacken","Halmstad","3","0"
"16/04/2014","Norrkoping","Mjallby","1","1"
"16/04/2014","Orebro","Malmo FF","1","2"
"16/04/2014","Djurgarden","AIK","2","3"
"17/04/2014","Falkenbergs","Kalmar","1","3"
"17/04/2014","Gefle","Brommapojkarna","3","0"
"17/04/2014","Goteborg","Atvidabergs","5","0"
"17/04/2014","Elfsborg","Helsingborg","1","0"
"20/04/2014","Halmstad","Helsingborg","2","1"
"20/04/2014","Kalmar","Goteborg","1","1"
"20/04/2014","AIK","Norrkoping","1","2"
"20/04/2014","Mjallby","Hacken","1","4"
"21/04/2014","Atvidabergs","Gefle","2","2"
"21/04/2014","Falkenbergs","Elfsborg","2","3"
"21/04/2014","Brommapojkarna","Orebro","2","2"
"21/04/2014","Malmo FF","Djurgarden","2","2"
"25/04/2014","Goteborg","Falkenbergs","1","0"
"25/04/2014","Orebro","Atvidabergs","3","2"
"27/04/2014","Djurgarden","Brommapojkarna","3","2"
"27/04/2014","Helsingborg","Mjallby","3","1"
"27/04/2014","Hacken","AIK","2","2"
"28/04/2014","Elfsborg","Halmstad","4","1"
"28/04/2014","Gefle","Kalmar","0","2"
"28/04/2014","Norrkoping","Malmo FF","1","2"
"03/05/2014","Brommapojkarna","Norrkoping","3","0"
"03/05/2014","Mjallby","Halmstad","2","1"
"04/05/2014","Atvidabergs","Djurgarden","1","1"
"04/05/2014","Malmo FF","Hacken","1","2"
"04/05/2014","Goteborg","Elfsborg","0","0"
"04/05/2014","Kalmar","Orebro","2","0"
"05/05/2014","Falkenbergs","Gefle","1","1"
"05/05/2014","AIK","Helsingborg","2","1"
"07/05/2014","Djurgarden","Kalmar","0","0"
"07/05/2014","Elfsborg","Mjallby","3","1"
"07/05/2014","Hacken","Brommapojkarna","3","1"
